# key,text — the spoken clips. Non-verbal ones (chime, star_*) are not generated.
intro,"Բարև։ Ես Պույ-պույն եմ։ Ազգանունս Ճստունի։ Ես քեզ կօգնեմ սովորել թվերը։"
num_1,"մեկ"
num_2,"երկու"
num_3,"երեք"
num_4,"չորս"
num_5,"հինգ"
num_6,"վեց"
num_7,"յոթ"
num_8,"ութ"
num_9,"ինը"
num_10,"տասը"
total_1,"Ընդամենը՝ մեկ"
total_2,"Ընդամենը՝ երկու"
total_3,"Ընդամենը՝ երեք"
total_4,"Ընդամենը՝ չորս"
total_5,"Ընդամենը՝ հինգ"
total_6,"Ընդամենը՝ վեց"
total_7,"Ընդամենը՝ յոթ"
total_8,"Ընդամենը՝ ութ"
total_9,"Ընդամենը՝ ինը"
total_10,"Ընդամենը՝ տասը"
ask_1,"Ո՞րն է մեկը"
ask_2,"Ո՞րն է երկուսը"
ask_3,"Ո՞րն է երեքը"
ask_4,"Ո՞րն է չորսը"
ask_5,"Ո՞րն է հինգը"
ask_6,"Ո՞րն է վեցը"
ask_7,"Ո՞րն է յոթը"
ask_8,"Ո՞րն է ութը"
ask_9,"Ո՞րն է ինը"
ask_10,"Ո՞րն է տասը"
how_many,"Քանի՞ հատ միրգ հաշվեցիր դու"
what_number,"Սա ո՞ր թիվն է"
praise_1,"Ապրե՛ս"
praise_2,"Շատ լավ"
praise_3,"Կեցցե՛ս"
praise_4,"Հրաշալի է"
praise_5,"Ճի՛շտ է"
praise_6,"Դու կարողացա՛ր"
praise_7,"Ի՜նչ լավ ես անում"
praise_8,"Այո՛, ճի՛շտ է"
oops_1,"Հը՞մ"
oops_2,"Օ՜յ"
